introductory_headings,unsuccessful,successful,ambiguous_outcome,country,dob,sexual_orientation_case,gender_identity_case,unknown_sogi_case,female_claimant,male_claimant,nonbinary_claimant
DETERMINATION AND REASONS,uphold the decision,appeal is allowed,hearing de novo,citizen of,born on,sexual orientation,gender identity,lgbt,,,
DECISION AND REASONS,appeal dismissed,appeal against the Respondent's decision is allowed,direct that it be heard again by an Adjudicator other than,national of,whose date of birth is given as,lesbian,transgender,,,,
The appellant,did not involve the making of an error of law,allowing this appeal,remitted for consideration afresh,to return to,,\bgay\b,,,,,
INTRODUCTION,appeal is dismissed,appeal are allowed,remitted to the First-tier Tribunal,citizens of,,bisexual,,,,,
DECISION ON APPEAL,do not set aside the decision,allow the refugee appeal,de novo rehearing,is from,,homosexual,,,,,
Background,decision to dismiss the appeal stands,allow the human rights appeal,remit the case to the First-tier Tribunal,,,,,,,,
REASONS FOR FINDING ERROR OF LAW,determination is uphelpd,allowing the appeal, for rehearing,,,,,,,,
THE APPELLANTS’ CASE HISTORIES,is therefore dismissed,allow his appeal,de novo hearing,,,,,,,,
,dismiss the appeal,allow this appeal,remit this appeal,,,,,,,,
,this appeal must be dismissed,dismiss the Secretary of State's appeal,a fresh hearing,,,,,,,,
,shall stand,allowing the appellant's appeal, remit the matter,,,,,,,,
,is dismissed,grant the appeal,remade in the First-tier Tribunal,,,,,,,,
,remains dismissed,appeal allowed,heard afresh,,,,,,,,
,dismiss the appellant's appeal,allow the appeal,will have to be re-made,,,,,,,,
,substitute a decision dismissing the appeal,allow the appellant's appeal,remit the appeal,,,,,,,,
,stands unchanged,Appellant’s appeal against the Secretary of State’s decision to refuse her leave to remain,remit the matter,,,,,,,,
,dismiss the Appellant's appeal,,remade before the First-tier Tribunal,,,,,,,,
,re-make the decision in the appeal by dismissing it,,de novo,,,,,,,,
,the judge was entitled to dismiss,,should be re-listed,,,,,,,,
,decision stands,,,,,,,,,,
,decision dismissing the appeal is maintained,,,,,,,,,,
,the determination is upheld,,,,,,,,,,
,dismissing the appeal,,,,,,,,,,
,no material error of law,,,,,,,,,,
,refusing the appeal,,,,,,,,,,
,not set aside,,,,,,,,,,
,decision will stand,,,,,,,,,,
,decision of the First-tier Tribunal will stand,,,,,,,,,,
,is upheld,,,,,,,,,,
,did not involve the making of any error on a point of law,,,,,,,,,,
,It shall accordingly stand,,,,,,,,,,
,be dismissed,,,,,,,,,,
,remake the appeal as refused,,,,,,,,,,
,does not contain an error of law,,,,,,,,,,
,dismisses the claimant's appeal,,,,,,,,,,
,dismiss this appeal,,,,,,,,,,
,no error of law,,,,,,,,,,
,dismiss the appeal,,,,,,,,,,
